datetime,meas
2018-08-27 21:35:02,64.2
2018-08-27 21:40:02,64.2
2018-08-27 21:45:02,64.8
2018-08-27 21:50:02,64.8
2018-08-27 21:55:01,64.8
2018-08-27 22:00:02,64.8
2018-08-27 22:05:02,64.2
2018-08-27 22:10:02,64.2
2018-08-27 22:15:02,63.5
2018-08-27 22:20:02,63.5
2018-08-27 22:25:02,63.5
2018-08-27 22:30:02,63.5
2018-08-27 22:35:02,63.5
2018-08-27 22:40:02,62.1
2018-08-27 22:45:02,62.1
2018-08-27 22:50:02,62.1
2018-08-27 22:55:02,59.4
2018-08-27 23:00:02,59.4
2018-08-27 23:05:02,59
2018-08-27 23:10:02,59
2018-08-27 23:15:03,59
2018-08-27 23:20:02,59
2018-08-27 23:25:02,57.7
2018-08-27 23:30:02,57.7
2018-08-27 23:35:02,57.7
2018-08-27 23:40:02,57.7
2018-08-27 23:45:02,57.7
2018-08-27 23:50:02,57.2
2018-08-27 23:55:02,57.2
2018-08-28 00:00:02,57.2
2018-08-28 00:05:01,57.2
2018-08-28 00:10:02,57.2
2018-08-28 00:15:02,57
2018-08-28 00:20:02,57
2018-08-28 00:25:02,57
2018-08-28 00:30:02,57
2018-08-28 00:35:02,57
2018-08-28 00:40:02,56.8
2018-08-28 00:45:02,56.8
2018-08-28 00:50:02,56.8
2018-08-28 00:55:02,56.8
2018-08-28 01:00:02,56.3
2018-08-28 01:05:02,56.3
2018-08-28 01:10:01,56.3
2018-08-28 01:15:02,56.3
2018-08-28 01:20:02,56.3
2018-08-28 01:25:02,56.3
2018-08-28 01:30:02,55.6
2018-08-28 01:35:02,55.6
2018-08-28 01:40:02,55.6
2018-08-28 01:45:02,55.6
2018-08-28 01:50:02,55.6
2018-08-28 01:55:02,55.4
2018-08-28 02:00:03,55.4
2018-08-28 02:05:02,55.4
2018-08-28 02:10:01,55.4
2018-08-28 02:15:02,55
2018-08-28 02:20:02,55
2018-08-28 02:25:02,55
2018-08-28 02:30:02,55
2018-08-28 02:35:02,55
2018-08-28 02:40:02,55
2018-08-28 02:45:02,55
2018-08-28 02:50:02,55
2018-08-28 02:55:02,55
2018-08-28 03:00:02,54.9
2018-08-28 03:05:02,54.9
2018-08-28 03:10:02,54.9
2018-08-28 03:15:02,54.9
2018-08-28 03:20:02,54.9
2018-08-28 03:25:02,54.9
2018-08-28 03:30:02,54.9
2018-08-28 03:35:01,54.7
2018-08-28 03:40:02,54.7
2018-08-28 03:45:03,54.7
2018-08-28 03:50:02,54.7
2018-08-28 03:55:02,54.7
2018-08-28 04:00:02,54.7
2018-08-28 04:05:02,54.7
2018-08-28 04:10:02,54.7
2018-08-28 04:15:02,54.7
2018-08-28 04:20:02,54.3
2018-08-28 04:25:02,54.3
2018-08-28 04:30:02,54.3
2018-08-28 04:35:02,54.3
2018-08-28 04:40:02,53.8
2018-08-28 04:45:02,53.8
2018-08-28 04:50:02,53.8
2018-08-28 04:55:02,53.8
2018-08-28 05:00:02,53.8
2018-08-28 05:05:01,53.8
2018-08-28 05:10:02,53.8
2018-08-28 05:15:02,54
2018-08-28 05:20:02,54
2018-08-28 05:25:02,54
2018-08-28 05:30:02,54
2018-08-28 05:35:02,54.1
2018-08-28 05:40:02,54.1
2018-08-28 05:45:02,54.1
2018-08-28 05:50:01,54.1
2018-08-28 05:55:02,54.3
2018-08-28 06:00:02,54.3
2018-08-28 06:05:02,54.3
2018-08-28 06:10:01,54.3
2018-08-28 06:15:02,54.9
2018-08-28 06:20:02,55.6
2018-08-28 06:25:02,55.6
2018-08-28 06:30:02,55.6
2018-08-28 06:35:02,55.6
2018-08-28 06:40:02,55.6
2018-08-28 06:45:02,58.3
2018-08-28 06:50:02,58.3
2018-08-28 06:55:02,58.3
